"FRS Link CSV","Cleanup Name","Location Address","City Name","State Code","Postal Code","County Name","EPA ID","Brownfields Link CSV","RCRA Link CSV","Superfund Link CSV","ECHO Link CSV","Response Link CSV","Map Site CSV"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000619368","PRO CURE BLAST YARD","600 N MC QUEEN","JASPER","TX","75951","JASPER","TXD008096240","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0601735","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:30.933889 -93.9825"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000620481","AMERICAN CROSSARM & CONDUIT CO","100 CHEHALIS AVE SW","CHEHALIS","WA","98532","LEWIS","WAD057311094","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000753","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:46.656944 -122.968889"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000620668","OCONOMOWOC ELECTROPLATING CO INC","2573 OAK ST","ASHIPPUN","WI","53003","DODGE COUNTY","WID006100275","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0504986","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.2141 -88.5221"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000748246","ADVANCED MICRO DEVICES INC","901 THOMPSON PL","SUNNYVALE","CA","94085","SANTA CLARA","CAD048634059","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0901389","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:37.3825 -122.0086"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000492967","JACKSONVILLE NAVAL AIR STATION","6500 ROOSEVELT BLVD","JACKSONVILLE","FL","32244","DUVAL","FL6170024412","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22FL6170024412%22","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0401214","https://echo.epa.gov/detailed-facility-report?fid=110000492967","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:30.22111 -81.682777"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000500459","CHEMTOOL","1165 PRAIRIE HILL RD","ROCKTON","IL","61072","WINNEBAGO","ILD021440375","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0500272","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:42.468611 -89.06555"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000586642","CNA HOLDINGS- CELANESE TICONA SHELBY PLANT","2525 BLACKSBURG RD","GROVER","NC","28073","CLEVELAND","NCD003446721","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402687","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:35.208889 -81.528339"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000595222","IDAHO POLE CO.","E. CEDAR ST.","BOZEMAN","MT","59715","GALLATIN","MTD006232276","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800379","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:45.688454 -111.023672"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000604301","MARINE CORPS AIR STATION CHERRY POINT","NC HIGHWAY 101 AT US 70 WEST","CHERRY POINT","NC","28533","CRAVEN","NC1170027261","","https://obipublic11.epa.gov/analytics/saw.dll?PortalPages&Action=Navigate&PortalPath=/shared/CIMC/_portal/CIMC&Page=RCRA+Profile+Page&col1=RCRA_PROFILE_FINAL.HANDLER_ID&val1=%22NC1170027261%22","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403174","https://echo.epa.gov/detailed-facility-report?fid=110000604301","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:34.9 -76.8917"
"https://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000797077","BRUNSWICK NAVAL AIR STATION","1251 ORION STREET","BRUNSWICK","ME","04011","CUMBERLAND","ME8170022018","","","https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101073","","","https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:43.90634 -69.933986"
